1485999606.059360 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.3271484375, 'AI2': 0.2978515625} 
1485999606.107730 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.2978515625, 'AI2': 0.2978515625} 
1485999606.155350 {'AI5': 2.3193359375, 'AI4': 4.775390625, 'AI0': 0.29296875, 'AI2': 0.29296875} 
1485999606.203573 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.341796875, 'AI2': 0.3515625} 
1485999606.251479 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.283203125, 'AI2': 0.302734375} 
1485999606.299187 {'AI5': 2.32421875, 'AI4': 4.7802734375, 'AI0': 0.3173828125, 'AI2': 0.3125} 
1485999606.347225 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.302734375, 'AI2': 0.302734375} 
1485999606.395514 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.2734375, 'AI2': 0.2685546875} 
1485999606.443121 {'AI5': 2.314453125, 'AI4': 4.78515625, 'AI0': 0.302734375, 'AI2': 0.2880859375} 
1485999606.491234 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.341796875, 'AI2': 0.3271484375} 
1485999606.539273 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.2978515625, 'AI2': 0.3076171875} 
1485999606.588077 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.3369140625, 'AI2': 0.341796875} 
1485999606.635351 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.2685546875, 'AI2': 0.2734375} 
1485999606.683358 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.302734375, 'AI2': 0.29296875} 
1485999606.731429 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.2783203125, 'AI2': 0.2587890625} 
1485999606.779354 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.2783203125, 'AI2': 0.2783203125} 
1485999606.827294 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.283203125, 'AI2': 0.29296875} 
1485999606.875187 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.244140625, 'AI2': 0.2587890625} 
1485999606.923523 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.2587890625, 'AI2': 0.2490234375} 
1485999606.971305 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.2685546875, 'AI2': 0.2734375} 
1485999607.019163 {'AI5': 2.32421875, 'AI4': 4.775390625, 'AI0': 0.283203125, 'AI2': 0.2783203125} 
1485999607.067191 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.244140625, 'AI2': 0.244140625} 
1485999607.115336 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.205078125, 'AI2': 0.21484375} 
1485999607.163096 {'AI5': 2.3046875, 'AI4': 4.7802734375, 'AI0': 0.3125, 'AI2': 0.3076171875} 
1485999607.211157 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.33203125, 'AI2': 0.33203125} 
1485999607.259410 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.283203125, 'AI2': 0.2880859375} 
1485999607.307252 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.3271484375, 'AI2': 0.3173828125} 
1485999607.355299 {'AI5': 2.32421875, 'AI4': 4.78515625, 'AI0': 0.3125, 'AI2': 0.302734375} 
1485999607.403289 {'AI5': 2.3193359375, 'AI4': 4.7900390625, 'AI0': 0.2978515625, 'AI2': 0.29296875} 
1485999607.451231 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.322265625, 'AI2': 0.341796875} 
1485999607.499514 {'AI5': 2.32421875, 'AI4': 4.7802734375, 'AI0': 0.2685546875, 'AI2': 0.283203125} 
1485999607.547481 {'AI5': 2.314453125, 'AI4': 4.78515625, 'AI0': 0.3271484375, 'AI2': 0.3173828125} 
1485999607.595500 {'AI5': 2.314453125, 'AI4': 4.78515625, 'AI0': 0.283203125, 'AI2': 0.2880859375} 
1485999607.643353 {'AI5': 2.314453125, 'AI4': 4.7802734375, 'AI0': 0.322265625, 'AI2': 0.3076171875} 
1485999607.691208 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.2685546875, 'AI2': 0.2734375} 
1485999607.739409 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.3125, 'AI2': 0.322265625} 
1485999607.787444 {'AI5': 2.314453125, 'AI4': 4.7900390625, 'AI0': 0.2978515625, 'AI2': 0.3076171875} 
1485999607.835862 {'AI5': 2.3193359375, 'AI4': 4.775390625, 'AI0': 0.29296875, 'AI2': 0.3076171875} 
1485999607.883287 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.3125, 'AI2': 0.3125} 
1485999607.931448 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.2880859375, 'AI2': 0.2880859375} 
1485999607.979108 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.283203125, 'AI2': 0.29296875} 
1485999608.027353 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.3173828125, 'AI2': 0.322265625} 
1485999608.075244 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.322265625, 'AI2': 0.3125} 
1485999608.123086 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.302734375, 'AI2': 0.2978515625} 
1485999608.171842 {'AI5': 2.314453125, 'AI4': 4.775390625, 'AI0': 0.33203125, 'AI2': 0.3271484375} 
